Model,X-max,X-min,Y-max,Y-min,Z-max,Z-min
019-SUV,1.0678626249999998,-1.0678626249999998,0.8982450900000001,-0.8982450900000001,2.404490055,-2.404490055
036-CAR01,1.13261795,-1.13261795,0.91300072,-0.91300072,2.642370605,-2.642370605
037-CAR02,0.9436828650000001,-0.9436828650000001,0.6797149650000001,-0.6797149650000001,2.15702667,-2.15702667
aodi-a6,1.0505274800000002,-1.0505274800000002,0.755187425,-0.755187425,2.613266945,-2.613266945
aodi-Q7-SUV,1.12635414,-1.12635414,0.88069916,-0.88069916,2.527064895,-2.527064895
baojun-310-2017,0.9632981899999998,-0.9632981899999998,0.7136288450000001,-0.7136288450000001,1.9817771899999999,-1.9817771899999999
baojun-510,0.9579540249999999,-0.9579540249999999,0.8225663299999999,-0.8225663299999999,2.082297365,-2.082297365
baoma-330,1.1874128,-1.1874128,0.83430786,-0.83430786,2.651320955,-2.651320955
baoma-530,1.074316405,-1.074316405,0.769780235,-0.769780235,2.494289855,-2.494289855
baoma-X5,1.141249695,-1.141249695,0.871034545,-0.871034545,2.42393944,-2.42393944
baoshijie-kayan,1.1369170750000002,-1.1369170750000002,0.9121536650000001,-0.9121536650000001,2.67260696,-2.67260696
baoshijie-paoche,1.05809052,-1.05809052,0.7118933849999999,-0.7118933849999999,2.487118835,-2.487118835
beiqi-huansu-H3,1.01158966,-1.01158966,0.84216837,-0.84216837,2.237540285,-2.237540285
benchi-GLK-300,1.00638557,-1.00638557,0.8449507900000001,-0.8449507900000001,2.26701233,-2.26701233
benchi-ML500,1.08348011,-1.08348011,0.9254894300000001,-0.9254894300000001,2.417293545,-2.417293545
benchi-SUR,1.085014265,-1.085014265,0.879189415,-0.879189415,2.41231895,-2.41231895
bentian-fengfan,0.99840698,-0.99840698,0.71926383,-0.71926383,2.242857815,-2.242857815
biaozhi-3008,1.107421,-1.107421,0.8352809149999999,-0.8352809149999999,2.19842186,-2.19842186
biaozhi-408,1.04000145,-1.04000145,0.746722305,-0.746722305,2.40301361,-2.40301361
biaozhi-508,1.191761245,-1.191761245,0.8343393349999999,-0.8343393349999999,2.779609375,-2.779609375
biaozhi-liangxiang,1.051964985,-1.051964985,0.7414249599999999,-0.7414249599999999,2.134020005,-2.134020005
bieke-kaiyue,1.006286735,-1.006286735,0.72953824,-0.72953824,2.2549543799999996,-2.2549543799999996
bieke-yinglang-XT,0.90897132,-0.90897132,0.738931525,-0.738931525,2.24773888,-2.24773888
bieke,1.04407776,-1.04407776,0.735242425,-0.735242425,2.498537445,-2.498537445
biyadi-2x-F0,0.942159235,-0.942159235,0.7322307299999999,-0.7322307299999999,1.724695815,-1.724695815
biyadi-F3,0.8905402800000001,-0.8905402800000001,0.7124821149999999,-0.7124821149999999,2.12523112,-2.12523112
biyadi-qin,0.959388005,-0.959388005,0.70339981,-0.70339981,2.45490692,-2.45490692
biyadi-tang,1.053022615,-1.053022615,0.839972345,-0.839972345,2.366754305,-2.366754305
changan-CS35-2012,1.0007104150000001,-1.0007104150000001,0.82414761,-0.82414761,2.08551117,-2.08551117
changan-cs5,1.0420876350000001,-1.0420876350000001,0.84661125,-0.84661125,2.2799122599999997,-2.2799122599999997
changanbenben,0.9474815749999999,-0.9474815749999999,0.89117324,-0.89117324,1.858441315,-1.858441315
changcheng-H6-2016,1.065111465,-1.065111465,0.83470737,-0.83470737,2.244401475,-2.244401475
dazhong-SUV,1.128580245,-1.128580245,0.869005665,-0.869005665,2.347976685,-2.347976685
dazhong,1.06404606,-1.06404606,0.710192455,-0.710192455,2.4109755699999997,-2.4109755699999997
dazhongmaiteng,0.9869781850000001,-0.9869781850000001,0.7448342199999999,-0.7448342199999999,2.41504672,-2.41504672
dihao-EV,0.9850992550000001,-0.9850992550000001,0.763697435,-0.763697435,2.315551755,-2.315551755
dongfeng-DS5,1.00949707,-1.00949707,0.72244968,-0.72244968,2.19623657,-2.19623657
dongfeng-fengguang-S560,0.93265957,-0.93265957,0.8717143150000001,-0.8717143150000001,2.26743584,-2.26743584
dongfeng-fengxing-SX6,1.0462940600000001,-1.0462940600000001,0.908272345,-0.908272345,2.302528305,-2.302528305
dongfeng-xuetielong-C6,1.012997245,-1.012997245,0.7285227599999999,-0.7285227599999999,2.411222225,-2.411222225
dongfeng-yulong-naruijie,1.13473343,-1.13473343,0.876485215,-0.876485215,2.40518509,-2.40518509
dongnan-V3-lingyue-2011,0.8665149299999999,-0.8665149299999999,0.70484667,-0.70484667,2.20135353,-2.20135353
feiyate,0.944831655,-0.944831655,0.718985865,-0.718985865,1.949793545,-1.949793545
fengtian-liangxiang,0.9797444150000001,-0.9797444150000001,0.825776405,-0.825776405,2.2137257399999997,-2.2137257399999997
fengtian-MPV,1.05457397,-1.05457397,0.9467736800000001,-0.9467736800000001,2.396790775,-2.396790775
fengtian-puladuo-06,0.9441433699999999,-0.9441433699999999,0.9316225850000001,-0.9316225850000001,2.524690245,-2.524690245
fengtian-SUV-gai,1.050550005,-1.050550005,0.8534145000000001,-0.8534145000000001,2.257372895,-2.257372895
fengtian-weichi-2006,0.86639252,-0.86639252,0.7552054050000001,-0.7552054050000001,2.138031315,-2.138031315
fute,1.03298683,-1.03298683,0.745325545,-0.745325545,2.4731579549999996,-2.4731579549999996
guangqi-chuanqi-GS4-2015,0.9437686149999999,-0.9437686149999999,0.9316225850000001,-0.9316225850000001,2.5256304949999997,-2.5256304949999997
haima-3,0.993705025,-0.993705025,0.73760435,-0.73760435,2.260355375,-2.260355375
jianghuai-ruifeng-S3,0.8889313799999999,-0.8889313799999999,0.83441705,-0.83441705,2.179602125,-2.179602125
jili-boyue,1.021995805,-1.021995805,0.8518500499999999,-0.8518500499999999,2.23406461,-2.23406461
jilixiongmao-2015,0.9306240100000001,-0.93062401,0.7779002550000002,-0.7779002550000002,1.870461885,-1.870461885
jipu-3,1.11875465,-1.11875465,0.89044697,-0.89044697,2.43236145,-2.43236145
kaidilake-CTS,0.983911745,-0.983911745,0.8010069300000001,-0.8010069300000001,2.5674130249999996,-2.5674130249999996
leikesasi,1.06183548,-1.06183548,0.7393771749999999,-0.7393771749999999,2.486589355,-2.486589355
lingmu-aotuo-2009,0.96996384,-0.96996384,0.72374977,-0.72374977,1.79419418,-1.79419418
lingmu-swift,0.95508354,-0.95508354,0.7606044399999999,-0.7606044399999999,1.8846455400000002,-1.8846455400000002
lingmu-SX4-2012,1.00134636,-1.00134636,0.794314865,-0.794314865,2.041832045,-2.041832045
linken-SUV,1.04746582,-1.04746582,0.8500468449999999,-0.8500468449999999,2.26505402,-2.26505402
lufeng-X8,1.0735009,-1.0735009,0.914662095,-0.914662095,2.326362305,-2.326362305
mazida-6-2015,0.9123247449999999,-0.9123247449999999,0.73765439,-0.73765439,2.29781015,-2.29781015
MG-GT-2015,1.029463195,-1.029463195,0.7485418699999999,-0.7485418699999999,2.273908155,-2.273908155
oubao,1.0438732899999998,-1.0438732899999998,0.7366547800000001,-0.7366547800000001,2.41565155,-2.41565155
qirui-ruihu,1.0004706250000002,-1.0004706250000002,0.87646063,-0.87646063,2.211697665,-2.211697665
qiya,1.20607063,-1.20607063,0.84150093,-0.84150093,2.7963800049999996,-2.7963800049999996
rongwei-750,1.03924639,-1.03924639,0.70758189,-0.70758189,2.409076415,-2.409076415
rongwei-RX5,1.040797865,-1.040797865,0.87943635,-0.87943635,2.282441315,-2.282441315
sanling-oulande,1.048445665,-1.048445665,0.849516715,-0.849516715,2.32331192,-2.32331192
sikeda-jingrui,0.9405763250000001,-0.9405763250000001,0.72577158,-0.72577158,1.9684198000000002,-1.9684198000000002
sikeda-SUV,1.0835810449999999,-1.0835810449999999,0.8120470399999999,-0.8120470399999999,2.531510925,-2.531510925
Skoda_Fabia-2011,0.9297848500000001,-0.9297848500000001,0.78797222,-0.78797222,1.996817015,-1.996817015
supai-2016,1.00701599,-1.00701599,0.7330542950000001,-0.7330542950000001,2.38695633,-2.38695633
xiandai-i25-2016,0.999731295,-0.999731295,0.84199806,-0.84199806,2.141316985,-2.141316985
xiandai-suonata,1.0113480400000001,-1.0113480400000001,0.760608445,-0.760608445,2.4234931950000003,-2.4234931950000003
yingfeinidi-qx80,1.141052855,-1.141052855,0.9139129249999999,-0.9139129249999999,2.5189808649999996,-2.5189808649999996
yingfeinidi-SUV,1.091564025,-1.091564025,0.8702596650000001,-0.8702596650000001,2.4774002050000004,-2.4774002050000004
yiqi-benteng-b50,1.02196514,-1.02196514,0.7210548449999998,-0.7210548449999998,2.34112777,-2.34112777
